Canonical SMILES,Toxicity Value
CN(C)C(=N)N=C(N)N,199.9891614
COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,1.09993517
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,459.9559979
CC1CCC(C(C)C)C(O)C1,864.9501812
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,28.00045625
COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,191.9866099
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,1.399968617
NCCCNCCSP(=O)(O)O,407.0056994
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.799882345
,119.4378704
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,529.9966715
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(O)C(O)C1O,1384.991425
CNC1(C)C2CCC(C2)C1(C)C,62.9977405
CCN(CC)N=O,175.0051401
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,2.999871143
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,286.9890437
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.799949805
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,97.38894187
CN(C)CCCN1c2ccccc2CCc2ccccc21,84.99545308
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,63.71185663
Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,279.9940757
CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1,107.9962735
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,14.79946294
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,2399.757598
COc1cc(CCN)cc(OC)c1OC,327.9984478
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,89.9955387
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0.210014726
CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,140.0171406
Cc1ccc(=O)n(-c2ccccc2)c1,459.9850998
CNC(C)CC1CCCCC1,84.99726303
COC(=O)C1C(O)CCC2CN3CCc4c([nH]c5ccccc45)C3CC21,81.96084047
Cc1ccccc1,499.9945735
C=C(C)C(=O)OC,1890.056635
CNC(C)Cc1ccc2c(c1)OCO2,97.99695714
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,40.60610713
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,143.0027978
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,412.9791791
CN(C)CCOC(c1ccccc1)c1ccccc1,74.99676928
CNC(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)(N)C(O)C(C)O2)Oc2ccc(cc2Cl)C1O,736.9638946
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,400.0345573
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,99.98903038
CNCCCC1c2ccccc2C=Cc2ccccc21,21.00127572
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,374.0033556
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,352.035274
CC1OC(OC2C(Oc3cc(O)c4c(c3)OC(c3ccc(O)cc3)CC4=O)OC(CO)C(O)C2O)C(O)C(O)C1O,1999.865641
CC1OC(OCC2OC(Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)C(O)C(O)C2O)C(O)C(O)C1O,1999.931207
CN(C)N=O,13.69944521
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,1011.035058
