Canonical SMILES,Toxicity Value
CNC(C)C(O)c1ccccc1,399.9854751
CC1CCC(C(C)C)C(O)C1,1799.896332
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,200.0023793
ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,6.39975447
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,400.0021362
O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl,3.000292206
CC1OC2(CS1)CN1CCC2CC1,80.0004013
CC(N)Cc1ccccc1,52.00000002
Cc1cccc(C)c1NC(=O)C1CCCCN1C,134.9978079
CC(C)NCC(O)c1cc(O)cc(O)c1,239.9988642
Nc1ccc(O)cc1,100.0018327
O=C1NC(=O)C(=O)C(=O)N1,299.9999998
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,399.9942924
CCCCC1(CC)C(=O)NC(=O)NC1=O,275.0012956
NCc1ccc(S(N)(=O)=O)cc1,2499.919455
CNCC(O)c1cccc(O)c1,59.9971293
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,999.9824782
NCCCNCCCCNCCCN,11.99964416
O=C(O)C(Cl)(Cl)Cl,499.9785788
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O,99.99882485
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,219.9856702
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,549.9934081
CC12CCC3=C4CCC(=O)C=C4CCC3C1CCC2(O)CC#N,999.9197241
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,80.00488736
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,138.0017743
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,999.8300488
C=O,15.99999999
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,499.9682935
