Canonical SMILES,Toxicity Value
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,122.9622949
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(O)C5C(O)(C(O)C6OC)C(C(OC)C23)C14,274.9994497
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,0.059995726
CNC(C)C(O)c1ccccc1,97.99644155
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,22.99957841
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,4.199700407
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,559.9965335
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,14.56161597
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,42.8979855
,66.99908293
Cc1cccc(C)c1NC(=O)C1CCCCN1C,19.99967524
CN(C)CCN(Cc1cccs1)c1ccccn1,14.59977658
COc1ccc2cc1Oc1cc3c(cc1OC)CC[N+](C)(C)C3Cc1ccc(cc1)Oc1c(OC)c(OC)cc3c1C(C2)[N+](C)(C)CC3,49.99754912
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,173.9993835
CN1Cc2c(N)cccc2C(c2ccccc2)C1,263.9955693
O=c1[nH]c2ccccc2n1CCCN1CCN(C(c2ccccc2)c2ccccc2)CC1,23.0019411
CCN(CC)CCOC(=O)c1ccc(N)cc1,50.99892094
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,14.0011901
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,692.9861
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,3.999863826
COc1cc2c3cc1Oc1cc(ccc1O)CC1c4c(cc(OC)c(O)c4Oc4ccc(cc4)CC3N(C)CC2)CC[N+]1(C)C,0.065995346
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,33.87143466
