Canonical SMILES,Toxicity Value
COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43,120.0088219
CC=C(C)C(=O)OC1CCN2CC=C(COC(=O)C(O)(C(C)OC)C(C)(C)O)C12,50.00060757
CC=C1CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23,54.99739196
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,50.0023996
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,27.89622204
CCC1C(=O)OCC1Cc1cncn1C,19.99990395
CCN(CC)CCOC(=O)c1ccc(N)cc1Cl,64.99759932
NCCCCCC(=O)O,19799.24527
CN(C)CCC=C1c2ccccc2CCc2ccccc21,42.65976638
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,19.99940147
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,19.99947256
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.309979737
CCN(CC)CCOC(=O)c1ccc(N)cc1,49.99894207
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)C=Cc2cc(OC)c(OC)c(OC)c2)C1OC,34.99856632
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,16.00031544
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.467970636
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,24.90124691
CN(C)CCCN1c2ccccc2CCc2ccccc21,77.99582754
CNCCC=C1c2ccccc2CCc2ccccc21,44.00267285
CNCC(O)c1ccc(O)c(O)c1,0.125987291
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,82.99478024
CCOC(N)=O,799.9640822
,3499.971567
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,542.9418842
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,150.0013455
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,79.99704991
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,59.99936912
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,117.0117245
C1CCN2CC3CC(CN4CCCCC34)C2C1,26.99919366
OC(O)C(Cl)(Cl)Cl,399.992745
N=C(N)N,499.9830711
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,89.99761363
CNCCCN1c2ccccc2CCc2ccccc21,55.00247756
CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1,71.36549733
CC[N+](C)(CC)CCOC(=O)C(O)(c1cccs1)C1CCCC1,98.99738325
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2C1=CC(=O)OC1,0.23999822
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,0.999943185
C[n+]1c2cc(N)ccc2cc2ccc(N)cc21,39.99875157
NCC(O)c1ccc(O)cc1,199.9986942
CC1OC(OC2C=C3CCC4C(CCC5(C)C(c6ccc(=O)oc6)CCC45O)C3(C)CC2)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,0.353000509
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)C3CC12,19.00064487
CC12CCC(O)CC1CCC1C2CCC2(C)C(C3=CC(=O)OC3)CCC12O,1.418920434
N#C[K],5.000000002
CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,6.999286383
CC12CCC(O)CC1CCC1C2CCC2(C)C(c3ccc(=O)oc3)C(O)CC12O,1.059918366
CC12CCC3C(CCC4(O)CC(O)CCC34C=O)C1(O)CCC2c1ccc(=O)oc1,1.344954792
CC(=O)C1CCC2C3CCC4CC(N)CCC4(C)C3CCC12C,63.99657335
CN1C2CCC1CC(OC(=O)c1ccccc1)C2,24.99979618
O=C1CCCC2C3CC(CN12)C1CCCCN1C3,77.99685946
OC(CNCCCl)C(O)C(O)C(O)CNCCCl,19.99986892
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(O)CC43O)C2)C1O,1.990039751
CC1OC(OC2CCC3(C=O)C4CCC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)CC(O)C1O,0.866925406
CCCCOc1ccc(OCCCN2CCOCC2)cc1,108.9973995
,4.999851901
COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5,55.00335596
COC(=O)C1C2CC3c4[nH]c5ccc(OC)cc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,52.00102519
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,1.700027387
COC1C(O)C(C)OC(OC2CCC3(C=O)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)CCC43O)C2)C1O,0.710034938
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5OC(=O)CCl)N3C1OC(=O)CCl,148.9987568
CCN(CC)CCOC(=O)C(c1ccccc1)N1CCCCC1,149.0182472
CCN(CC)CCOc1cc(C)ccc1C(C)C,19.99935844
COC(=O)C1=COC(C)C2CN3CCc4c([nH]c5ccccc45)C3CC12,19.99807058
CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,1.380023475
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,1.880031982
CC(=O)OC1CCC2(C)C(CCC3C2CC(OC(C)=O)C2(C)C(C4=CC(=O)OC4)CCC32O)C1,20.20025537
,5.377775914
COC1C(O)C(C)OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=CC(=O)OC5)C(OC=O)CC43O)C2)C1O,0.237000409
CC1C2CCC3C4=C(CCC32CN1C)C1CCC(N(C)C)CC1(C)CC4,70.80039715
