Canonical SMILES,Toxicity Value
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,1499.834956
CC1OC(C[N+](C)(C)C)CC1O,749.9827849
Oc1ccc2ccccc2c1,99.99791928
CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,4999.928142
O=C(O)c1cc(-c2ccccc2)nc2ccccc12,1499.945843
CCCCOc1ccc(C(=O)CCN2CCCCC2)cc1,99.99343503
COc1ccc(OC)c(C(O)C(C)N)c1,134.9993609
Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2,500.039905
CCCNC1CCc2nc(N)sc2C1,1699.967823
CC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,200.0214419
CC#CCC(C)C(O)C=CC1C(O)CC2Oc3c(CCCC(=O)O)cccc3C21,30.0000753
CCCCC1(CC)C(=O)NC(=O)NC1=O,100.0004711
CNCC(O)c1ccc(O)c(O)c1,49.99808958
BrCCBr,249.9973384
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,3999.596
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,100.0033514
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,3999.885345
NCCCNCCCCNCCCN,178.9946921
CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,149.9835455
CNC1C(O)C(NC)C2OC3(O)C(=O)CC(C)OC3OC2C1O,19999.81945
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,8000.354255
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,9999.880135
O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1,5000.107879
NC(Cc1c[nH]c2ccccc12)C(=O)O,14999.33897
COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,1070.139075
c1ccc2c(c1)Oc1ccccc1[As]2O[As]1c2ccccc2Oc2ccccc21,41.99724032
CCOP(=O)(OC=C(Cl)Cl)OCC,42.00000002
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,599.9137628
CNC,49.99445488
C[N+](C)(C)C,124.9881991
CCC(C)(C)O,2500.0
CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C,377.9814388
CCC(C)(O)CC,749.9486184
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],7000.110715
NNC(N)=S,94.0010315
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,749.8455958
O=S1(=O)N2CN3CN1CN(C2)S3(=O)=O,0.200028302
CC(C)(OO)c1ccccc1,4999.901435
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,599.9189005
Cc1c[nH]c2ccccc12,469.9713369
CCc1cc2c(cc1C(C)=O)C(C)(C)CCC2(C)C,469.9909056
O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl,1069.782641
Nc1ccccc1-c1ccccc1,9999.586366
Cc1cccc(N(CCO)CCO)c1,499.9948787
S=c1sc2nc3ccccc3nc2s1,1069.791746
CCOc1ccccc1N,599.9912523
Cc1cc(N=Nc2ccccc2C)ccc1N,799.9822464
CC(C)COC(=O)C(C)C,12799.64498
COc1ccc([N+](=O)[O-])cc1,300.0058772
Clc1ccc(Cc2ccc(Cl)cc2)cc1,1499.943068
CCNC(=S)NCC,61.99906228
CC(=O)OCC=C(C)CCC=C(C)C,8000.0
CCCC(=O)OC(=O)CCC,999.9557523
NC(=O)OCC(Cl)(Cl)Cl,749.9649214
,500.0227004
CC(C)CC(C)O,999.9314921
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,14998.02269
SCCCS,1069.990115
COCCN,1599.9787
OCCOCCOCCO,18499.50725
CC(N)(CO)CO,140.0039948
CCCC[P+](CCCC)(CCCC)Cc1ccc(Cl)cc1Cl,469.9416301
c1ccc2[nH]ccc2c1,1069.990867
CCNc1nc(Cl)nc(NCC)n1,4999.975207
CCC=O,799.9999994
O=C1CCCCCC=CCCCCCCCCO1,1599.949285
O=C(CS)OCCOC(=O)CS,50.00570675
CCOP(=O)(OCC)SCCSCC,5.798989724
