Canonical SMILES,Toxicity Value
CC(C)(O)C#N,149.989425
c1ccncc1,999.9747168
COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1999.695224
,49.997558
C1CN1,14.00032504
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,10000.92174
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1000.025388
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,44.99922748
CNN,47.99895823
CNC(=O)CSP(=S)(OC)OC,965.1557375
O=C(O)CF,1.599958996
O=C(O)CI,125.0013443
,800.0000003
C[N+](C)(C)C,24.99763985
,2000.062431
CCOP(=O)(C#N)N(C)C,35.00021585
C=C(C)C(=O)O,999.9999996
O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,0.999980022
Oc1c(Br)ccc2c(O)c(Br)ccc12,1999.97484
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C,9999.712593
CCOC(=O)COC(=O)c1ccccc1C(=O)OC,10000.03757
COP(=S)(OC)SCn1nnc2ccccc2c1=O,279.9717643
CCC(C)c1ccccc1O,599.9960063
N#Cc1ccccc1C#N,999.9687824
COc1ccccc1NC(=O)CC(=O)c1ccccc1,999.9628676
O=C1CCN(c2ccccc2)N1,999.9876693
CC(=O)CC(=O)Nc1ccccc1C,1000.0
Nc1ccccc1O,1000.018327
Cc1cc(O)ccc1O,1000.008055
CCC(C)C=O,19999.07123
O=C1CCCO1,5000.000006
OCC1CCCO1,4802.561372
Nc1ccc([N+](=O)[O-])cc1,499.9782806
O=[N+]([O-])c1ccc(O)cc1,999.9999991
CCC(C)Nc1ccc(NC(C)CC)cc1,4999.773103
CC(=O)CC(=O)Nc1ccccc1,999.9830705
CCCCNc1ccc(O)cc1,4999.818439
CCc1ccc(C)nc1,2499.93811
CCCCCC(=O)OC,4999.731156
C=CC#N,201.984773
O=CC=O,6600.454898
O=C1C=CC(=O)O1,20000.61191
Nc1cccc(Cl)c1,99.99686451
Cc1cccc(C)n1,2641.009369
Cc1cc(C)nc(C)c1,999.9752433
Cc1cccnc1,1000.010737
[BH3-][n+]1ccccc1,200.0043038
CCCCC=O,19999.07123
CCOCCOC(C)=O,19460.14724
CCCCN=C=O,999.969738
ClCCOCCCl,299.9937071
CCCCCCCCO,999.9923222
CCOCCOCCO,31998.8075
ClCCOCOCCCl,169.9911582
O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,4073.701756
CNC(=O)ON=CC(C)(C)SC,2400.02523
COCCOC(=O)c1ccccc1C(=O)OCCOC,19999.8583
CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,5000.460868
COC(=O)c1ccc(C(=O)OC)cc1,4999.845504
Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],999.972548
CCCCC(C=O)CC,15999.37605
CC(C)(C)c1cccc(C(C)(C)C)c1O,9999.563811
CCN1C(=O)C=CC1=O,500.0119877
O=NN(O)c1ccccc1,4999.782806
O=C(Oc1cccc(O)c1)c1ccccc1,20.00000001
Cc1ccc2n[nH]nc2c1,999.9699604
C=C(C#N)C(=O)OC,10959.0
CCCCCCCCCCCCCCCC(=O)OCC(O)C1OC(=O)C(O)=C1O,2999.717757
CCCCC(CC)COC(=O)c1cccc(C(=O)OCC(CC)CCCC)c1,20001.8435
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)O,649.9845485
ClC1=C(Cl)C2(Cl)C3C(Cl)OC(Cl)C3C1(Cl)C2(Cl)Cl,1.999737708
CCOP(=S)(OCC)Oc1cnccn1,9.99983888
