Canonical SMILES,Toxicity Value
Cc1ccc(C(C)C)cc1O,2699.982024
Nc1ccncc1,326.9756791
CC(C)NNC(=O)c1ccncc1,1999.966522
CN(C)C(=S)SSC(=S)N(C)C,999.8170057
CC(Cl)(Cl)Cl,15799.40783
,793.9999995
C[N+](C)(C)C,99.99055932
,3386.687364
CC1(C)C(=O)N(Br)C(=O)N1Br,19999.79017
,828.8503865
O=C(Cl)CCl,315.9916062
CC(C)(OO)c1ccccc1,1199.976345
O=c1n(Cl)c(=O)n(Cl)c(=O)n1Cl,5009.999998
Cc1cc(C)c(N)c(C)c1,220.0
CCN(CC)C(=O)Cl,12839.62122
Cc1cccc2ccccc12,7499.94726
c1ccc(Nc2cccc3ccccc23)cc1,7999.74463
c1ccc2n[nH]nc2c1,449.9735579
c1ccc2scnc2c1,199.9985205
Nc1ccccc1N,1499.944519
Oc1ccccc1Cl,1579.90168
Nc1ccc(Cl)c(Cl)c1,299.983335
O=C(O)c1cc(S(=O)(=O)O)ccc1O,7940.145564
O=Cc1ccco1,646.036322
O=[N+]([O-])c1ccccc1,599.9951258
CN(N=O)c1ccc(N=O)cc1,1499.981836
O=[N+]([O-])c1ccc(O)cc1,1499.999998
N#CC1CCCCC1,199.996336
N#Cc1cccnc1,3999.92316
CNC1CCCCC1,1999.929331
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,5000.177259
O=C=Nc1ccc(Cl)cc1,5999.687433
CCOC(=O)CC,14255.58126
COC(C)(C)CC(C)=O,2999.838691
Nc1cccc(N)c1,1583.860409
OC1CCCCC1,793.9920735
Cc1cccnc1,200.0021475
CCCCCl,20000.21603
COCCOC,1999.955618
CCCCN=C=O,5999.818423
C1CCCNCC1,1259.911068
N#CCCCCC#N,0.999963013
CCCCCCCCN,1999.891679
O=P(OCCCl)(OCCCl)OCCCl,2000.06305
Oc1ccc(Cl)cc1Cc1ccccc1,5009.931273
Oc1ccc(Cl)cc1Cl,3159.941841
CCCCCCCCCCCCCCCC[n+]1ccccc1,1999.724175
CCCCCCCCC=O,4999.929694
CC1(C)C(=O)N(Br)C(=O)N1Cl,1999.983433
CCOP(=O)(OCC)SCCSCC,4.999129075
N#CCc1ccc(Cl)cc1,199.992084
CC(=O)C=CC=C(C)CCC=C(C)C,4999.947995
,9999.903903
NCCCCCCNCCCCCCN,199.9953571
,9999.887393
CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C,19.99979041
CCOP(=S)(OCC)OCCSCC,99.98258135
CCOP(=S)(OCC)SCCSCC,4.999763135
COS(=O)(=O)F,455.0119633
FC(Cl)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,249.9983509
NCCCCCCF,0.249993707
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,3999.914201
CN(N=O)c1ccccc1,391.6520999
O=[N+]([O-])c1ccc(O)c(Cl)c1,1999.942383
CC(=O)C=Cc1ccco1,50.00000004
ClCc1ccc(CCl)cc1,500.9771042
Nc1ccc(N)cc1,4999.815059
N#CCNCC#N,1499.921139
CCSCCSP(=S)(OC)OC,100.0166423
,1359.959717
CCSCCOP(=S)(OC)OC,75.00293112
C=CC(=O)NCO,15999.20874
CC1CC(C)S(=O)(=O)C1,3600.072862
CCCCC(CC)COP(=O)(O)O,1999.999998
CC(=O)OCC1=CCC2CC1C2(C)C,4999.897051
CCCCCCCCCCCC[N+](C)(C)C,799.9859921
O=[N+]([O-])c1cc[n+]([O-])cc1,360.005139
,69.99741952
,2000.144017
N#CCCOCCC#N,4199.898502
O=C(O)CC(C(=O)O)C(CC(=O)O)C(=O)O,8000.000008
CC1(C)C2CCC1(C)C(Oc1ccc(N)cc1)C2,5009.877491
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,3269.907917
Cc1cc(C)c(O)c(C(C)(C)C)c1,16.9995232
CCCCCCCCOC(=O)COc1ccc(Cl)cc1Cl,1999.669924
CN(C)c1ccc(N)cc1,59.9964757
,12.5997345
CCN(CC)c1ccc(N)cc1,124.9984781
C=CC(=O)NC(C)C,1579.999999
CC(=O)OCc1ccc(C)cc1,4999.8782
C(OCC1CO1)C1CO1,1499.965421
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,3159.920185
COP(=S)(Cl)OC,315.9960635
CCOP(=S)(Cl)OCC,199.9936378
CCOP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1,100.0007214
N#CC(Cl)CCl,793.9999996
