Canonical SMILES,Toxicity Value
CN(C)C(=N)N=C(N)N,147.3133549
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,0.059995726
CNC(C)C(O)c1ccccc1,249.2306665
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,37.29931631
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,20.99850207
CCCC[N+]1(C)C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,155.0111796
COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,30.66220813
COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,149.9977893
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,3170.042031
CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,3169.801284
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,739.9953524
CNC1(C)C2CCC(C2)C1(C)C,154.994441
Cc1cccc(C)c1NC(=O)C1CCCCN1C,93.99847366
CN(CCCl)CCCl,1.999923106
NCC1OC(OC2C(CO)OC(OC3C(O)C(N)CC(N)C3OC3OC(CO)C(O)C(O)C3N)C2O)C(N)C(O)C1O,1699.906115
CCN(CC)CCOC(=O)c1ccc(N)cc1,406.9913886
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,65.00128149
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,849.9775837
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,19.49933615
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,320.0275977
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,0.599962353
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,420.035563
CN(C)CCCN1c2ccccc2CCc2ccccc21,189.9898366
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,519.9488094
CN(C)CCC(c1ccccc1)c1ccccn1,108.9954648
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)CC#N)C2SC1,240.000707
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,219.9761053
NC1CONC1=O,999.9706144
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,15.3012918
CC(CNC1CCCCC1)OC(=O)c1ccccc1,165.9968243
CC(C)NNC(=O)c1ccncc1,729.9877798
CC(CN1c2ccccc2Sc2cccnc21)N(C)C,40.99770157
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,70.00220753
CC1CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC3OC3C=CC(=O)O1)CC(O)C2C(=O)O,159.9920687
C=C(C)C(=O)OC,5954.178414
CN(C)CCOC(c1ccccc1)c1ccccc1,47.32659955
CC(C)NCC(O)c1ccc(O)c(O)c1,0.319998485
Cc1ccccc1C(OCCN(C)C)c1ccccc1,74.0032964
CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1,109.9872366
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,339.9964253
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,140.0140294
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,53.99075136
COc1cccc(C2(O)CCCCC2CN(C)C)c1,244.9897676
CN(C)CCN(Cc1ccccc1)c1ccccn1,29.99941264
CCCCCCCCCCCCCCCC[N+](C)(C)C,99.98172576
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,900.0228499
NCCc1cnc[nH]1,1.250022494
CCN(CC)C(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,15.99802126
O=C(Cc1cccs1)NC1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CSC12,549.9947181
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,9.999828325
O=C(O)CF,0.249993593
CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1,59.99957353
CCOP(=O)(C#N)N(C)C,0.12000074
CCOP(=O)(OCC)SCCN(CC)CC,0.079997921
C=CC(N)=O,170.0023916
CCOC(=O)c1ccccc1C(=O)OCC,2999.999998
CC(OP(C)(=O)F)C(C)(C)C,0.023999341
CCOC(=O)CC#N,1114.940857
OCCCl,74.99627392
CCC#N,18.09999999
C=CC#N,129.9902005
CC(C)OP(C)(=O)F,0.029999143
CCOP(=O)(OCC)OP(=O)(OCC)OCC,0.700002412
N#CCC(N)=O,1155.027475
C=CCC#N,131.9980325
N#CCC#N,20.99904636
N#CCCCCC#N,49.99815059
CCCCOCCOCCSC#N,449.9845064
CN(C)P(=O)(F)N(C)C,1.999935117
Clc1ccc(CC(=CCN2CCCC2)c2ccccc2)cc1,1240.777153
CC(Cc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(O)c1,1.000096568
CCOC(C)=O,3000.1362
N#C[Na],5.799881651
CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,0.499987282
CP(=O)(F)OC1CCCCC1,0.100000555
O=[As](Cl)(Cl)C=CCl,0.199992835
CCN(CC)CCN1c2ccccc2Sc2ccccc21,449.9170732
COC(=O)CF,0.200002172
C[N+](C)(C)CCOC(=O)CF,1.499999999
c1cncc(C2CCCCN2)c1,21.99918638
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,24.99949604
ClCCSCCCl,19.99987426
CCN(CC)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,168.0065804
CC1=C2C(=COC(C)C2C)C(=O)C(C(=O)O)C1=O,37.00000001
CC1CCCCN1CCCOC(=O)c1ccccc1,297.7304152
ClC=C[As](Cl)Cl,0.999956589
OCC1OC(n2cnc3cncnc32)C(O)C1O,14.99999999
ClCCN(CCCl)CCCl,6.999041689
CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21,47.00146255
CC(N)CCCC(=O)O,5999.771305
COc1ccc2c(c1O)-c1c3c(cc4c1C(C2)N(C)CC4)OCO3,200.022129
CCOP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OP(=O)(OCC)OCC,1.499985187
CCC(CN)=C(c1ccccc1)c1ccccc1,33.39915567
CN(C)CCN1c2ccccc2C(=O)NC1c1ccccn1,374.9949387
CN(C)CCN(Cc1ccccc1)c1ccccc1,109.996973
CNC(C)C(S)c1ccccc1,258.9942857
O=c1[nH]nc(-c2ccncc2)o1,749.9724158
C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,147.8299667
N#CC1CCCC1=O,126.0023092
O=C(O)C(F)C(=O)O,1.999983615
