Canonical SMILES,Toxicity Value
Oc1ccc(O)cc1,299.9945512
CCN1CC2(COC)C(O)CC(OC)C34C5CC6(O)C(OC)C(O)C(OC(C)=O)(C5C6OC(=O)c5ccccc5)C(C(OC)C23)C14,0.074827817
C=C(C)C1C2CC3(C)C4(CO4)C4OC4C3(O)C1C(=O)O2,2.438964945
C=CCc1cc(OC)c2c(c1)OCO2,1999.958379
CNC(C)C(O)c1ccccc1,399.9854751
,799.9884166
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,25.00040735
Oc1ccc2ccccc2c1,2669.944443
O=C1CCCCCN1,950.0000011
CN(C)CCC(O)(c1ccccc1)c1ccccc1Cl,129.9973086
Cc1ccc(O)cc1,199.9999998
CC(N)Cc1ccccc1,37.81628783
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,99.99542423
Oc1ccccc1Br,1500.00867
Nc1ccc(O)cc1,1500.02749
Oc1ccccc1,449.9856552
CCN(CC)CCOC(=O)c1ccc(N)cc1,399.9915366
Oc1cccc(O)c1,399.9927343
,999.9754355
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,99.99676549
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,167.6430585
CC(C)=O,5000.000004
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,249.9902726
Cc1cc(=O)n(-c2ccccc2)n1C,1599.999998
CCC1(CC)C(=O)NC(=O)NC1=O,199.9945711
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,112.0094564
COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341,80.00371609
CNCC(O)c1ccc(O)c(O)c1,1.063618539
CCOc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,300.0028719
COc1cc(CCN)cc(OC)c1OC,499.9976331
C1N2CN3CN1CN(C2)C3,300.0
CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(C6=CC(=O)OC6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O,0.100007013
COc1ccccc1O,900.0072503
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,499.9947427
CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,833.0046713
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,2999.971097
OCCO,5000.161115
N=C(N)N,99.9966143
CN1CCCC1c1cccnc1,14.99944525
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,169.995492
Cc1ccc(C(C)C)c(O)c1,1099.992676
NCCc1cnc[nH]1,8.00014396
NCCSSCCN,300.0236397
,15498.98154
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,19.99625508
NCCc1ccc(O)cc1,1043.984778
NC(N)=S,3999.789819
CC=C(C)C(=O)OC1CCC2(C)C3CCC4C5(O)CC(O)C6(O)C(CN7CC(C)CCC7C6(C)O)C5(O)CC42OC13O,0.999929024
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,3.199818189
Cc1ccc(S(N)(=O)=O)cc1,1999.988317
